CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 5457.1050 427.3640 4839.8921
  1    0      0    1 1:1:1:0          yes 5457.1050 427.3640 3187.8621
  2    0      0    2 2:2:2:0          yes 5457.1050 427.3640 3208.8601
  3    0      0    3 3:3:3:0          yes 5457.1050 427.3640 4778.0220
  4    0      0    4 4:4:4:0          yes 5457.1050 427.3640 4840.6558
  5    0      0    5 5:5:5:0          yes 5457.1050 427.3640 4834.1099
  6    0      0    0 0:0:0:0          yes 5457.1050 427.3640 2991.5459
  7    0      0    1 1:1:1:0          yes 5457.1050 427.3640 4818.4482
  8    0      0    2 2:2:2:0          yes 5457.1050 427.3640 2991.5459
  9    0      0    3 3:3:3:0          yes 5457.1050 427.3640 2991.5459
 10    0      0    4 4:4:4:0          yes 5457.1050 427.3640 3934.8989
 11    0      0    5 5:5:5:0          yes 5457.1050 427.3640 4831.0889
